IO;OSC Address;Name;Color;Out EQ;Lock
1;/output/1;Out 1;0.5,0.5,0.5,1;;false
2;/output/2;Out 2;0.5,0.5,0.5,1;;false
3;/output/3;Out 3;0.5,0.5,0.5,1;;false
4;/output/4;Out 4;0.5,0.5,0.5,1;;false
5;/output/5;Out 5;0.5,0.5,0.5,1;;false
6;/output/6;Out 6;0.5,0.5,0.5,1;;false
7;/output/7;Out 7;0.5,0.5,0.5,1;;false
8;/output/8;Out 8;0.5,0.5,0.5,1;;false
9;/output/9;Out 9;0.5,0.5,0.5,1;;false
10;/output/10;Out 10;0.5,0.5,0.5,1;;false
11;/output/11;Out 11;0.5,0.5,0.5,1;;false
12;/output/12;Out 12;0.5,0.5,0.5,1;;false
13;/output/13;Out 13;0.5,0.5,0.5,1;;false
14;/output/14;Out 14;0.5,0.5,0.5,1;;false
15;/output/15;Out 15;0.5,0.5,0.5,1;;false
16;/output/16;Out 16;0.5,0.5,0.5,1;;false
17;/output/17;Out 17;0.5,0.5,0.5,1;;false
18;/output/18;Out 18;0.5,0.5,0.5,1;;false
19;/output/19;Out 19;0.5,0.5,0.5,1;;false
20;/output/20;Out 20;0.5,0.5,0.5,1;;false
21;/output/21;Out 21;0.5,0.5,0.5,1;;false
22;/output/22;Out 22;0.5,0.5,0.5,1;;false
23;/output/23;Out 23;0.5,0.5,0.5,1;;false
24;/output/24;Out 24;0.5,0.5,0.5,1;;false
25;/output/25;Out 25;0.5,0.5,0.5,1;;false
26;/output/26;Out 26;0.5,0.5,0.5,1;;false
27;/output/27;Out 27;0.5,0.5,0.5,1;;false
28;/output/28;Out 28;0.5,0.5,0.5,1;;false
29;/output/29;Out 29;0.5,0.5,0.5,1;;false
30;/output/30;Out 30;0.5,0.5,0.5,1;;false
31;/output/31;Out 31;0.5,0.5,0.5,1;;false
32;/output/32;Out 32;0.5,0.5,0.5,1;;false
33;/output/33;Out 33;0.5,0.5,0.5,1;;false
34;/output/34;Out 34;0.5,0.5,0.5,1;;false
35;/output/35;Out 35;0.5,0.5,0.5,1;;false
36;/output/36;Out 36;0.5,0.5,0.5,1;;false
37;/output/37;Out 37;0.5,0.5,0.5,1;;false
38;/output/38;Out 38;0.5,0.5,0.5,1;;false
39;/output/39;Out 39;0.5,0.5,0.5,1;;false
40;/output/40;Out 40;0.5,0.5,0.5,1;;false
41;/output/41;Out 41;0.5,0.5,0.5,1;;false
42;/output/42;Out 42;0.5,0.5,0.5,1;;false
43;/output/43;Out 43;0.5,0.5,0.5,1;;false
44;/output/44;Out 44;0.5,0.5,0.5,1;;false
45;/output/45;Out 45;0.5,0.5,0.5,1;;false
46;/output/46;Out 46;0.5,0.5,0.5,1;;false
47;/output/47;Out 47;0.5,0.5,0.5,1;;false
48;/output/48;Out 48;0.5,0.5,0.5,1;;false
49;/output/49;Out 49;0.5,0.5,0.5,1;;false
50;/output/50;Out 50;0.5,0.5,0.5,1;;false
51;/output/51;Out 51;0.5,0.5,0.5,1;;false
52;/output/52;Out 52;0.5,0.5,0.5,1;;false
53;/output/53;Out 53;0.5,0.5,0.5,1;;false
54;/output/54;Out 54;0.5,0.5,0.5,1;;false
55;/output/55;Out 55;0.5,0.5,0.5,1;;false
56;/output/56;Out 56;0.5,0.5,0.5,1;;false
57;/output/57;Out 57;0.5,0.5,0.5,1;;false
58;/output/58;Out 58;0.5,0.5,0.5,1;;false
59;/output/59;Out 59;0.5,0.5,0.5,1;;false
60;/output/60;Out 60;0.5,0.5,0.5,1;;false
61;/output/61;Out 61;0.5,0.5,0.5,1;;false
62;/output/62;Out 62;0.5,0.5,0.5,1;;false
63;/output/63;Out 63;0.5,0.5,0.5,1;;false
64;/output/64;Out 64;0.5,0.5,0.5,1;;false
65;/output/65;Out 65;0.5,0.5,0.5,1;;false
66;/output/66;Out 66;0.5,0.5,0.5,1;;false
67;/output/67;Out 67;0.5,0.5,0.5,1;;false
68;/output/68;Out 68;0.5,0.5,0.5,1;;false
69;/output/69;Out 69;0.5,0.5,0.5,1;;false
70;/output/70;Out 70;0.5,0.5,0.5,1;;false
71;/output/71;Out 71;0.5,0.5,0.5,1;;false
72;/output/72;Out 72;0.5,0.5,0.5,1;;false
73;/output/73;Out 73;0.5,0.5,0.5,1;;false
74;/output/74;Out 74;0.5,0.5,0.5,1;;false
75;/output/75;Out 75;0.5,0.5,0.5,1;;false
76;/output/76;Out 76;0.5,0.5,0.5,1;;false
77;/output/77;Out 77;0.5,0.5,0.5,1;;false
78;/output/78;Out 78;0.5,0.5,0.5,1;;false
79;/output/79;Out 79;0.5,0.5,0.5,1;;false
80;/output/80;Out 80;0.5,0.5,0.5,1;;false
81;/output/81;Out 81;0.5,0.5,0.5,1;;false
82;/output/82;Out 82;0.5,0.5,0.5,1;;false
83;/output/83;Out 83;0.5,0.5,0.5,1;;false
84;/output/84;Out 84;0.5,0.5,0.5,1;;false
85;/output/85;Out 85;0.5,0.5,0.5,1;;false
86;/output/86;Out 86;0.5,0.5,0.5,1;;false
87;/output/87;Out 87;0.5,0.5,0.5,1;;false
88;/output/88;Out 88;0.5,0.5,0.5,1;;false
89;/output/89;Out 89;0.5,0.5,0.5,1;;false
90;/output/90;Out 90;0.5,0.5,0.5,1;;false
91;/output/91;Out 91;0.5,0.5,0.5,1;;false
92;/output/92;Out 92;0.5,0.5,0.5,1;;false
93;/output/93;Out 93;0.5,0.5,0.5,1;;false
94;/output/94;Out 94;0.5,0.5,0.5,1;;false
95;/output/95;Out 95;0.5,0.5,0.5,1;;false
96;/output/96;Out 96;0.5,0.5,0.5,1;;false
97;/output/97;Out 97;0.5,0.5,0.5,1;;false
98;/output/98;Out 98;0.5,0.5,0.5,1;;false
99;/output/99;Out 99;0.5,0.5,0.5,1;;false
100;/output/100;Out 100;0.5,0.5,0.5,1;;false
101;/output/101;Out 101;0.5,0.5,0.5,1;;false
102;/output/102;Out 102;0.5,0.5,0.5,1;;false
103;/output/103;Out 103;0.5,0.5,0.5,1;;false
104;/output/104;Out 104;0.5,0.5,0.5,1;;false
105;/output/105;Out 105;0.5,0.5,0.5,1;;false
106;/output/106;Out 106;0.5,0.5,0.5,1;;false
107;/output/107;Out 107;0.5,0.5,0.5,1;;false
108;/output/108;Out 108;0.5,0.5,0.5,1;;false
109;/output/109;Out 109;0.5,0.5,0.5,1;;false
110;/output/110;Out 110;0.5,0.5,0.5,1;;false
111;/output/111;Out 111;0.5,0.5,0.5,1;;false
112;/output/112;Out 112;0.5,0.5,0.5,1;;false
113;/output/113;Out 113;0.5,0.5,0.5,1;;false
114;/output/114;Out 114;0.5,0.5,0.5,1;;false
115;/output/115;Out 115;0.5,0.5,0.5,1;;false
116;/output/116;Out 116;0.5,0.5,0.5,1;;false
117;/output/117;Out 117;0.5,0.5,0.5,1;;false
118;/output/118;Out 118;0.5,0.5,0.5,1;;false
119;/output/119;Out 119;0.5,0.5,0.5,1;;false
120;/output/120;Out 120;0.5,0.5,0.5,1;;false
121;/output/121;Out 121;0.5,0.5,0.5,1;;false
122;/output/122;Out 122;0.5,0.5,0.5,1;;false
123;/output/123;Out 123;0.5,0.5,0.5,1;;false
124;/output/124;Out 124;0.5,0.5,0.5,1;;false
125;/output/125;Out 125;0.5,0.5,0.5,1;;false
126;/output/126;Out 126;0.5,0.5,0.5,1;;false
127;/output/127;Out 127;0.5,0.5,0.5,1;;false
128;/output/128;Out 128;0.5,0.5,0.5,1;;false